4,47,53
20,53,47
3,61,67
14,67,61
3,75,81
11,81,75
3,89,95
8,95,89
3,103,109
8,109,103
3,117,123
8,123,117
3,131,137
8,137,131
3,145,151
8,151,145
3,159,165
8,165,159
3,173,179
8,179,173
3,187,193
8,193,187
3,201,207
8,207,201
3,215,221
8,221,215
3,229,235
8,235,229
3,243,249
8,249,243
3,247,253
8,253,247
4,243,249
8,249,243
4,229,235
8,235,229
4,215,221
8,221,215
4,201,207
8,207,201
4,187,193
8,193,187
4,173,179
8,179,173
4,159,165
8,165,159
6,145,151
8,151,145
8,131,137
8,137,131
8,117,123
8,123,117
12,103,109
8,109,103
12,89,95
8,95,89
16,75,81
12,81,75
24,61,67
20,67,61
24,47,53
24,53,47
1,35,35
1,35,35
