1,36,36
3,40,48
6,64,56
6,72,80
6,96,88
6,104,112
6,128,120
6,136,144
6,160,152
6,168,176
6,192,184
6,200,208
6,224,216
6,232,240
6,256,248
6,264,272
6,288,280
6,296,304
6,320,312
6,328,336
6,352,344
6,360,368
6,384,376
6,392,400
6,416,408
6,424,432
6,448,440
6,456,464
6,480,472
6,488,496
6,512,504
3,516,516
3,504,512
6,496,488
6,472,480
6,464,456
6,440,448
6,432,424
6,408,416
6,400,392
6,376,384
6,368,360
6,344,352
6,336,328
6,312,320
6,304,296
6,280,288
6,272,264
6,248,256
6,240,232
6,216,224
6,208,200
8,184,192
8,176,168
8,152,160
12,144,136
12,120,128
12,112,104
20,88,96
20,80,72
30,56,64
30,48,40
15,36,36
1,36,36
