"From ""Handbook of Temperature Measurement Vol. 3: The Theory and Practice of Thermoelectric Thermometry"" Sep 1, 1998, pg. 31",
909.8696,-28.7651
913.0192,-28.7659
916.1687,-28.7667
919.3183,-28.7675
922.4563,-28.9397
925.6058,-28.9405
928.7438,-29.1127
931.8934,-29.1135
935.0429,-29.1143
938.1925,-29.1151
941.342,-29.1159
944.4916,-29.1167
947.6411,-29.1175
950.7791,-29.2897
953.9287,-29.2905
957.0782,-29.2913
960.2278,-29.2921
963.3773,-29.2929
966.5269,-29.2937
969.6764,-29.2945
972.8144,-29.4667
975.9639,-29.4675
979.1135,-29.4683
982.2631,-29.4691
985.4126,-29.4699
988.5622,-29.4707
991.7001,-29.6429
994.8497,-29.6437
997.9992,-29.6444
1001.1488,-29.6453
1004.2983,-29.6461
1007.4479,-29.647
1010.5975,-29.6478
1013.7354,-29.8199
1016.885,-29.8207
1020.0345,-29.8216
1023.1841,-29.8224
1026.3336,-29.8232
1029.4832,-29.8239
1032.6327,-29.8248
1035.7823,-29.8256
1038.9319,-29.8264
1042.0698,-29.9986
1045.2194,-29.9994
1048.3689,-30.0002
1051.5185,-30.001
1054.668,-30.0018
1057.806,-30.174
1060.9556,-30.1748
1064.1051,-30.1756
1067.2547,-30.1764
1070.4042,-30.1772
1073.5537,-30.178
1076.7033,-30.1788
1079.8529,-30.1796
1079.8413,-30.351
1082.9909,-30.3518
1086.1289,-30.524
1089.2784,-30.5248
1092.428,-30.5255
1095.5659,-30.6978
1098.7155,-30.6985
1101.8651,-30.6994
1105.0146,-30.7002
1108.1642,-30.701
1111.3136,-30.7018
1114.4517,-30.874
1117.6013,-30.8748
1120.7508,-30.8756
1123.9003,-30.8763
1127.0499,-30.8772
1130.1995,-30.878
1133.3374,-31.0502
1136.487,-31.051
1139.6364,-31.0518
1142.7861,-31.0526
1145.9357,-31.0534
1149.0852,-31.0542
1152.2232,-31.2264
1155.3727,-31.2272
1158.5223,-31.228
1161.6718,-31.2288
1164.8214,-31.2296
1167.9708,-31.2304
1171.1205,-31.2313
1174.2701,-31.2321
1177.408,-31.4042
1180.5575,-31.405
1183.7071,-31.4058
1186.8567,-31.4067
1190.0062,-31.4075
1193.1442,-31.5796
1196.2822,-31.7518
