4,47,53
20,53,47
3,62,68
14,68,62
3,77,83
11,83,77
3,92,98
8,98,92
3,107,113
8,113,107
3,122,128
8,128,122
3,137,143
8,143,137
3,152,158
8,158,152
3,167,173
8,173,167
3,182,188
8,188,182
3,197,203
8,203,197
3,212,218
8,218,212
3,227,233
8,233,227
3,242,248
8,248,242
3,257,263
8,263,257
3,272,278
8,278,272
4,257,263
8,263,257
4,242,248
8,248,242
4,227,233
8,233,227
4,212,218
8,218,212
4,197,203
8,203,197
4,182,188
8,188,182
4,167,173
8,173,167
6,152,158
8,158,152
8,137,143
8,143,137
8,122,128
8,128,122
12,107,113
8,113,107
12,92,98
8,98,92
16,77,83
12,83,77
24,62,68
20,68,62
24,47,53
24,53,47
1,35,35
1,35,35
