4,47,53
20,53,47
3,77,83
14,83,77
3,107,113
11,113,107
3,137,143
8,143,137
3,167,173
8,173,167
3,197,203
8,203,197
3,227,233
8,233,227
3,257,263
8,263,257
3,287,293
8,293,287
3,317,323
8,323,317
3,347,353
8,353,347
3,377,383
8,383,377
3,407,413
8,413,407
3,437,443
8,443,437
3,467,473
8,473,467
3,497,503
8,503,497
4,467,473
8,473,467
4,437,443
8,443,437
4,407,413
8,413,407
4,377,383
8,383,377
4,347,353
8,353,347
4,317,323
8,323,317
4,287,293
8,293,287
6,257,263
8,263,257
8,227,233
8,233,227
8,197,203
8,203,197
12,167,173
8,173,167
12,137,143
8,143,137
16,107,113
12,113,107
24,77,83
20,83,77
24,47,53
24,53,47
1,35,35
1,35,35
