4,47,53
20,53,47
3,72,78
14,78,72
3,97,103
11,103,97
3,122,128
8,128,122
3,147,153
8,153,147
3,172,178
8,178,172
3,197,203
8,203,197
3,222,228
8,228,222
3,247,253
8,253,247
3,272,278
8,278,272
3,297,303
8,303,297
3,322,328
8,328,322
3,347,353
8,353,347
3,372,378
8,378,372
3,397,403
8,403,397
3,422,428
8,428,422
4,397,403
8,403,397
4,372,378
8,378,372
4,347,353
8,353,347
4,322,328
8,328,322
4,297,303
8,303,297
4,272,278
8,278,272
4,247,253
8,253,247
6,222,228
8,228,222
8,197,203
8,203,197
8,172,178
8,178,172
12,147,153
8,153,147
12,122,128
8,128,122
16,97,103
12,103,97
24,72,78
20,78,72
24,47,53
24,53,47
1,35,35
1,35,35
