"From ""Handbook of Temperature Measurement Vol. 3: The Theory and Practice of Thermoelectric Thermometry"" Sep 1, 1998, pg. 31",
1004.9639,8.9908
1008.1154,8.9902
1011.2735,8.8216
1014.425,8.8211
1017.5831,8.6524
1020.7346,8.652
1023.886,8.6514
1027.0376,8.6509
1030.1957,8.4823
1033.3472,8.4818
1036.4987,8.4813
1039.6568,8.3127
1042.8083,8.3121
1045.9598,8.3115
1049.1179,8.143
1052.2694,8.1425
1055.4208,8.1419
1058.5723,8.1414
1061.7238,8.1409
1064.8819,7.9723
1068.0334,7.9718
1071.1849,7.9712
1074.343,7.8026
1077.4945,7.8021
1080.6526,7.6335
1083.8107,7.4649
1086.9622,7.4644
1090.1203,7.2958
1093.2718,7.2952
1096.4233,7.2947
1099.5814,7.1261
1102.7328,7.1256
1105.891,6.9569
1109.0425,6.9565
1112.194,6.9559
1115.3521,6.7873
1118.5036,6.7868
1121.6617,6.6181
1124.8132,6.6177
1127.9713,6.4491
1131.1228,6.4485
1134.2743,6.448
1137.4324,6.2793
1140.5838,6.2789
1143.742,6.1103
1146.8935,6.1098
1150.0449,6.1092
1153.203,5.9405
1156.3545,5.9401
1159.5126,5.7715
1162.6641,5.771
1165.8155,5.7705
1168.9737,5.6019
1172.1252,5.6013
1175.2767,5.6008
1178.4348,5.4322
1181.5863,5.4317
1184.7444,5.2631
1187.8959,5.2625
1191.054,5.0939
1194.2055,5.0934
1194.2121,4.9253
1197.3636,4.9247
