1,39.5,39.5
3,40,48
6,57,49
6,58,66
6,75,67
6,76,84
6,93,85
6,94,102
6,111,103
6,112,120
6,129,121
6,130,138
6,147,139
6,148,156
6,165,157
6,166,174
6,183,175
6,184,192
6,201,193
6,202,210
6,219,211
6,220,228
6,237,229
6,238,246
6,255,247
6,256,264
6,273,265
6,274,282
6,291,283
6,292,300
3,300.5,300.5
3,300,292
6,283,291
6,282,274
6,265,273
6,264,256
6,247,255
6,246,238
6,229,237
6,228,220
6,211,219
6,210,202
6,193,201
6,192,184
6,175,183
6,174,166
6,157,165
6,156,148
6,139,147
6,138,130
6,121,129
6,120,112
8,103,111
8,102,94
10,85,93
10,84,76
16,67,75
16,66,58
20,49,57
20,48,40
15,39.5,39.5
1,39.5,39.5
1,39.5,39.5
1,39.5,39.5
