4,47,53
20,53,47
3,74,80
14,80,74
3,101,107
11,107,101
3,128,134
8,134,128
3,155,161
8,161,155
3,182,188
8,188,182
3,209,215
8,215,209
3,236,242
8,242,236
3,263,269
8,269,263
3,290,296
8,296,290
3,317,323
8,323,317
3,344,350
8,350,344
3,371,377
8,377,371
3,398,404
8,404,398
3,425,431
8,431,425
3,447,453
8,453,447
4,425,431
8,431,425
4,398,404
8,404,398
4,371,377
8,377,371
4,344,350
8,350,344
4,317,323
8,323,317
4,290,296
8,296,290
4,263,269
8,269,263
6,236,242
8,242,236
8,209,215
8,215,209
8,182,188
8,188,182
12,155,161
8,161,155
12,128,134
8,134,128
16,101,107
12,107,101
24,74,80
20,80,74
24,47,53
24,53,47
1,35,35
1,35,35
